time,soc,power
2017-08-10 02:15:00+00:00,6.0,8.0
2017-08-10 02:30:00+00:00,6.0,4.0
2017-08-10 02:45:00+00:00,6.0,8.0
2017-08-10 03:00:00+00:00,6.0,8.0
2017-08-10 03:15:00+00:00,6.0,8.0
2017-08-10 03:30:00+00:00,6.0,8.0
2017-08-10 03:45:00+00:00,6.0,8.0
2017-08-10 04:00:00+00:00,6.0,4.0
2017-08-10 04:15:00+00:00,6.0,12.0
2017-08-10 04:30:00+00:00,6.0,8.0
2017-08-10 04:45:00+00:00,6.0,4.0
2017-08-10 05:00:00+00:00,6.0,8.0
2017-08-10 05:15:00+00:00,6.0,12.0
2017-08-10 05:30:00+00:00,6.0,4.0
2017-08-10 05:45:00+00:00,6.0,8.0
2017-08-10 06:00:00+00:00,6.0,8.0
2017-08-10 06:15:00+00:00,6.0,4.0
2017-08-10 06:30:00+00:00,6.0,8.0
2017-08-10 06:45:00+00:00,6.0,12.0
2017-08-10 07:00:00+00:00,6.0,4.0
2017-08-10 07:15:00+00:00,6.0,8.0
2017-08-10 07:30:00+00:00,6.0,8.0
2017-08-10 07:45:00+00:00,6.0,8.0
2017-08-10 08:00:00+00:00,6.0,4.0
2017-08-10 08:15:00+00:00,6.0,8.0
2017-08-10 08:30:00+00:00,6.0,12.0
2017-08-10 08:45:00+00:00,6.0,4.0
2017-08-10 09:00:00+00:00,6.0,8.0
2017-08-10 09:15:00+00:00,6.0,8.0
2017-08-10 09:30:00+00:00,6.0,8.0
2017-08-10 09:45:00+00:00,6.0,8.0
2017-08-10 10:00:00+00:00,6.0,4.0
2017-08-10 10:15:00+00:00,6.0,8.0
2017-08-10 10:30:00+00:00,6.0,8.0
2017-08-10 10:45:00+00:00,6.0,4.0
2017-08-10 11:00:00+00:00,6.0,8.0
2017-08-10 11:15:00+00:00,6.0,8.0
2017-08-10 11:30:00+00:00,6.0,8.0
2017-08-10 11:45:00+00:00,6.0,4.0
2017-08-10 12:00:00+00:00,6.0,8.0
2017-08-10 12:15:00+00:00,6.0,8.0
2017-08-10 12:30:00+00:00,6.0,4.0
2017-08-10 12:45:00+00:00,6.0,8.0
2017-08-10 13:00:00+00:00,6.0,12.0
2017-08-10 13:15:00+00:00,6.0,4.0
2017-08-10 13:30:00+00:00,6.0,8.0
2017-08-10 13:45:00+00:00,6.0,8.0
2017-08-10 14:00:00+00:00,6.0,4.0
2017-08-10 14:15:00+00:00,6.0,8.0
2017-08-10 14:30:00+00:00,6.0,8.0
2017-08-10 14:45:00+00:00,6.0,4.0
2017-08-10 15:00:00+00:00,6.0,8.0
2017-08-10 15:15:00+00:00,6.0,4.0
2017-08-10 15:30:00+00:00,6.0,4148.0
2017-08-10 15:45:00+00:00,18.0,1084.0
2017-08-10 16:00:00+00:00,18.0,8.0
2017-08-10 16:15:00+00:00,18.0,4.0
2017-08-10 16:30:00+00:00,18.0,12.0
2017-08-10 16:45:00+00:00,18.0,8.0
2017-08-10 17:00:00+00:00,18.0,8.0
2017-08-10 17:15:00+00:00,18.0,8.0
